Position;Date;rr;glot;tn;tm;tx;etp
(55.23416244032644,-21.062228897606758,131);2019-08-01;0.0;1531;18.8;21.9;28.2;3.21
(55.23416244032644,-21.062228897606758,131);2019-08-02;0.0;1589;18.2;21.8;28.1;3.41
(55.23416244032644,-21.062228897606758,131);2019-08-03;0.0;1793;17.7;21.7;28.7;3.51
(55.23416244032644,-21.062228897606758,131);2019-08-04;0.0;1529;17.6;21.1;27.7;3.41
(55.23416244032644,-21.062228897606758,131);2019-08-05;0.0;1570;16.5;20.2;26.7;3.31
(55.23416244032644,-21.062228897606758,131);2019-08-06;0.0;1721;15.9;20.7;27.9;3.21
(55.23416244032644,-21.062228897606758,131);2019-08-07;0.0;1585;16.6;20.4;25.8;3.21
(55.23416244032644,-21.062228897606758,131);2019-08-08;0.0;1458;16.6;21.1;27.3;3.11
(55.23416244032644,-21.062228897606758,131);2019-08-09;0.0;1738;17.4;21.3;27.9;3.61
(55.23416244032644,-21.062228897606758,131);2019-08-10;0.0;1153;16.4;20.6;26.4;3.01
(55.23416244032644,-21.062228897606758,131);2019-08-11;0.0;1533;17.7;20.9;27.9;2.92
(55.23416244032644,-21.062228897606758,131);2019-08-12;0.0;984;17.7;20.5;25.5;2.12
(55.23416244032644,-21.062228897606758,131);2019-08-13;0.0;1387;16.7;20.8;27.7;2.82
(55.23416244032644,-21.062228897606758,131);2019-08-14;0.0;1832;17.5;21.5;28.3;3.52
(55.23416244032644,-21.062228897606758,131);2019-08-15;0.0;1739;17.0;20.7;26.1;3.42
(55.23416244032644,-21.062228897606758,131);2019-08-16;0.0;1295;16.4;20.2;27.5;3.32
(55.23416244032644,-21.062228897606758,131);2019-08-17;0.0;1888;16.9;20.7;27.6;3.72
(55.23416244032644,-21.062228897606758,131);2019-08-18;0.0;1932;17.1;21.1;27.8;3.72
(55.23416244032644,-21.062228897606758,131);2019-08-19;0.0;1949;17.0;21.8;29.0;3.92
(55.23416244032644,-21.062228897606758,131);2019-08-20;0.0;1300;18.1;21.6;27.9;3.02
(55.23416244032644,-21.062228897606758,131);2019-08-21;0.0;1481;19.9;22.5;28.2;3.22
(55.23416244032644,-21.062228897606758,131);2019-08-22;0.0;1969;19.2;21.5;24.5;3.42
(55.23416244032644,-21.062228897606758,131);2019-08-23;0.0;1378;16.3;20.2;26.7;2.82
(55.23416244032644,-21.062228897606758,131);2019-08-24;0.0;2059;16.6;20.7;25.8;3.72
(55.23416244032644,-21.062228897606758,131);2019-08-25;0.0;1407;17.1;20.7;26.3;2.92
(55.23416244032644,-21.062228897606758,131);2019-08-26;0.0;1959;17.6;21.2;27.6;3.92
(55.23416244032644,-21.062228897606758,131);2019-08-27;0.0;1002;17.1;21.0;25.0;2.52
(55.23416244032644,-21.062228897606758,131);2019-08-28;0.0;1583;19.5;21.9;26.6;3.12
(55.23416244032644,-21.062228897606758,131);2019-08-29;0.0;1355;18.0;21.8;27.3;3.12
(55.23416244032644,-21.062228897606758,131);2019-08-30;0.0;1904;18.6;22.7;30.0;4.02
(55.23416244032644,-21.062228897606758,131);2019-08-31;0.0;1096;19.4;21.9;27.1;2.72
(55.23416244032644,-21.062228897606758,131);2019-09-01;0.0;2150;17.6;22.0;29.3;4.62
(55.23416244032644,-21.062228897606758,131);2019-09-02;0.0;1235;18.7;21.5;28.0;3.32
(55.23416244032644,-21.062228897606758,131);2019-09-03;0.0;1610;17.2;21.4;28.2;3.32
(55.23416244032644,-21.062228897606758,131);2019-09-04;0.0;1522;17.5;21.8;26.9;3.22
(55.23416244032644,-21.062228897606758,131);2019-09-05;6.9;1710;18.7;22.0;29.3;3.62
(55.23416244032644,-21.062228897606758,131);2019-09-06;0.0;1790;18.5;22.1;28.7;3.82
(55.23416244032644,-21.062228897606758,131);2019-09-07;0.0;2337;17.9;21.5;26.0;4.12
(55.23416244032644,-21.062228897606758,131);2019-09-08;0.0;1430;18.2;21.2;25.8;3.12
(55.23416244032644,-21.062228897606758,131);2019-09-09;0.0;1806;16.6;20.6;26.4;3.82
(55.23416244032644,-21.062228897606758,131);2019-09-10;0.0;1180;16.5;20.2;26.2;2.42
(55.23416244032644,-21.062228897606758,131);2019-09-11;0.0;1536;16.7;20.8;26.8;3.42
